Company Name,Website,LinkedIn,Owner Name,Owner LinkedIn URL,Country,Email,Email Score,Services,White Label Signals,Pain Point,Team Size,Judge Score,Sent date,FU 1,FU 2,FU 3,Status,Source
Devsdata,https://devsdata.com,https://www.linkedin.com/company/devsdata,,,USA,london@devsdata.com,scraped,"web development, mobile development, AI/ML, UI/UX design, cloud/DevOps",reseller,,,,,,,,,SCOUT-WL v4
E2Msolutions,https://e2msolutions.com,https://www.linkedin.com/company/e2m-solutions,,,USA,info@e2msolutions.com,scraped,"web development, UI/UX design, eCommerce","white label, partner program, staff augmentation, outsourcing",,,,,,,,,SCOUT-WL v4
Mailmunch,https://mailmunch.com,https://www.linkedin.com/company/mailmunch,,,,info@mailmunch.com,scraped,eCommerce,white label,,,,,,,,,SCOUT-WL v4
Objects,https://objects.ws,https://www.linkedin.com/company/objects,,,USA,,,"web development, mobile development, AI/ML, UI/UX design, cloud/DevOps",staff augmentation,,,,,,,,,SCOUT-WL v4
Alcor,https://alcor.com,https://www.linkedin.com/company/18244868,,,USA,contact@alcor-bpo.com,scraped,web development,"outsourcing, reseller",,,,,,,,,SCOUT-WL v4
Pitangent,https://pitangent.com,https://www.linkedin.com/company/pitangent,,,USA,sales@pitangent.com,scraped,"web development, mobile development, AI/ML, UI/UX design, cloud/DevOps","white label, partner program, staff augmentation",,,,,,,,,SCOUT-WL v4
Mokaru,https://mokaru.ai,,,,,,,web development,,,,,,,,,,SCOUT-WL v4
Hirewithnear,https://hirewithnear.com,https://www.linkedin.com/company/hire-with-near,,,USA,hello@hirewithnear.com,scraped,"AI/ML, UI/UX design, cloud/DevOps, eCommerce","staff augmentation, outsourcing, reseller",,,,,,,,,SCOUT-WL v4
Inoveys,https://inoveys.com,,,,,info@inoveys.com,scraped,AI/ML,,,,,,,,,,SCOUT-WL v4
Cuelogic,https://cuelogic.com,,,,,,,,,,,,,,,,,SCOUT-WL v4
Tmr Online,https://tmr-online.es,https://www.linkedin.com/company/tmr-b2b/about,,,USA,,,web development,outsourcing,,,,,,,,,SCOUT-WL v4
Trianglestacks,https://trianglestacks.com,,,,Canada,,,"web development, eCommerce","white label, partner program",,,,,,,,,SCOUT-WL v4
Fatbit,https://fatbit.com,https://www.linkedin.com/company/fatbit-technologies,,,,,,"web development, mobile development, UI/UX design, eCommerce, custom software",staff augmentation,,,,,,,,,SCOUT-WL v4
Cookieyes,https://cookieyes.com,https://www.linkedin.com/company/cookieyeshq,,,USA,mail@domain.com,scraped,"mobile development, eCommerce",partner program,,,,,,,,,SCOUT-WL v4
Wildnettechnologies,https://wildnettechnologies.com,https://www.linkedin.com/company/wildnet-technologies,,,USA,info@wildnettechnologies.com,scraped,"web development, mobile development, eCommerce, custom software","white label, partner program, outsourcing, reseller",,,,,,,,,SCOUT-WL v4
Pearpixels,https://pearpixels.com,,,,,,,,,,,,,,,,,SCOUT-WL v4
Bigscal,https://bigscal.com,https://www.linkedin.com/company/bigscaltechnologiespvtltd,,,USA,contact@bigscal.com,scraped,"web development, mobile development, AI/ML, UI/UX design, cloud/DevOps","white label, staff augmentation, outsourcing",,,,,,,,,SCOUT-WL v4
Co,https://smartwebagency.co.uk,,,,,,,,,,,,,,,,,SCOUT-WL v4
Vocal,https://vocal.media,,,,,,,,,,,,,,,,,SCOUT-WL v4
Nonstopwork,https://nonstopwork.com,https://www.linkedin.com/company/meetnonstopwork,,,,,,"web development, mobile development, UI/UX design, cloud/DevOps, eCommerce","white label, staff augmentation, outsourcing, reseller",,,,,,,,,SCOUT-WL v4
Devoqdesign,https://devoqdesign.com,https://www.linkedin.com/company/devoq,,,Canada,sales@devoqdesign.com,scraped,"web development, mobile development, UI/UX design, cloud/DevOps, eCommerce",,,,,,,,,,SCOUT-WL v4
Wdi Demo,https://wdi-demo.com,https://www.linkedin.com/company/sparx-it-solutions,,,USA,wdisanjay@gmail.com,scraped,"web development, mobile development, UI/UX design, eCommerce","white label, outsourcing",,,,,,,,,SCOUT-WL v4
Blockchainappfactory,https://blockchainappfactory.com,,,,,,,,,,,,,,,,,SCOUT-WL v4
Thebrandstrategylab,https://thebrandstrategylab.com,,,,,,,web development,,,,,,,,,,SCOUT-WL v4
Bridgewaydigital,https://bridgewaydigital.com,,,,USA,,,"web development, eCommerce",white label,,,,,,,,,SCOUT-WL v4
Hitechnectar,https://hitechnectar.com,https://www.linkedin.com/company/hitechnectar,,,USA,k.taylor@hitechnectar.com,scraped,AI/ML,,,,,,,,,,SCOUT-WL v4
Ginirex,https://ginirex.com,https://www.linkedin.com/company/ginirex,,,USA,info@ginirex.com,scraped,"web development, mobile development, eCommerce",,,,,,,,,,SCOUT-WL v4
Slideshare,https://slideshare.net,,,,,,,,,,,,,,,,,SCOUT-WL v4
Goforma,https://goforma.com,https://www.linkedin.com/company/goforma-accounting-virtual-office,,,,info@goforma.com,scraped,,,,,,,,,,,SCOUT-WL v4
Iplus,https://developer.iplus.tech,,,,,name@email.com,scraped,,,,,,,,,,,SCOUT-WL v4
Median,https://median.co,https://www.linkedin.com/company/median-co,,,USA,info@domain.com,scraped,"mobile development, eCommerce","white label, outsourcing",,,,,,,,,SCOUT-WL v4
